,10606|ANTH|140|Mesoamerican Cosmovision and Culture|17:00|17:50|Dis|Eric Heller|0.0|W
,38511|ANTH|200|The Human Animal|14:00|15:20|Lec|Maureen McCarthy|4.0|TH
,38515|ANTH|200|The Human Animal|10:00|11:50|Lab|TBA|0.0|H
,38516|ANTH|200|The Human Animal|10:00|11:50|Lab|TBA|0.0|W
,38517|ANTH|200|The Human Animal|10:00|11:50|Lab|TBA|0.0|T
,38518|ANTH|200|The Human Animal|12:00|13:50|Lab|TBA|0.0|T
,38522|ANTH|200|The Human Animal|12:00|13:50|Lab|TBA|0.0|W
,38528|ANTH|200|The Human Animal|12:00|13:50|Lab|TBA|0.0|H
,10704|ANTH|202|Archaeology: Our Human Past|12:30|13:50|Lec|Tracie Mayfield|4.0|TH
,10705|ANTH|202|Archaeology: Our Human Past|08:00|08:50|Dis|Tracie Mayfield|0.0|T
,10706|ANTH|202|Archaeology: Our Human Past|09:00|09:50|Dis|Tracie Mayfield|0.0|T
,10707|ANTH|202|Archaeology: Our Human Past|10:00|10:50|Dis|Tracie Mayfield|0.0|T
,10708|ANTH|202|Archaeology: Our Human Past|14:00|14:50|Dis|Tracie Mayfield|0.0|T
,10805|ANTH|205|Introduction to Global Studies and Overseas Research|15:30|16:50|Lec|Tok Thompson|4.0|TH
,10608|ANTH|263|Exploring Culture Through Film|08:30|09:50|Lec|Jennifer Cool|4.0|MW
,10609|ANTH|263|Exploring Culture Through Film|10:00|10:50|Dis|Eric Heller|0.0|F
,10610|ANTH|263|Exploring Culture Through Film|11:00|11:50|Dis|Eric Heller|0.0|F
,10611|ANTH|263|Exploring Culture Through Film|12:00|12:50|Dis|Eric Heller|0.0|F
,10612|ANTH|263|Exploring Culture Through Film|13:00|13:50|Dis|Eric Heller|0.0|F
,10710|ANTH|263|Exploring Culture Through Film|09:30|10:50|Lec|Xochitl Ruiz|4.0|TH
,10711|ANTH|263|Exploring Culture Through Film|11:00|11:50|Dis|Kristiana Willsey|0.0|M
,10712|ANTH|263|Exploring Culture Through Film|10:00|10:50|Dis|Kristiana Willsey|0.0|M
,10713|ANTH|263|Exploring Culture Through Film|09:00|09:50|Dis|Kristiana Willsey|0.0|W
,10714|ANTH|263|Exploring Culture Through Film|10:00|10:50|Dis|Kristiana Willsey|0.0|W
,10715|ANTH|273|Shamans, Spirits and Ancestors: Non-Western Religious Traditions|14:00|15:20|Lec|Janet Hoskins|4.0|TH
,38529|ANTH|300|Evolution, Ecology, and Culture|14:00|15:20|Lec|Maureen McCarthy|4.0|MW
,10613|ANTH|301|The Global Performance of Healing|16:00|18:50|Lec|Erin Moore|4.0|F
,10614|ANTH|305|Childhood, Birth and Reproduction|14:00|15:20|Lec|Erin Moore|4.0|MW
,38531|ANTH|306|Primate Social Behavior and Ecology|12:30|14:00|Lec|Craig Stanford|4.0|TH
,59990|ANTH|305|Virtual and Digital Culture, Heritage and Archaeology|16:00|17:20|Lec-Lab|Lynn Dodd|2.0|H
,59991|ANTH|305|Virtual and Digital Culture, Heritage and Archaeology|16:00|18:50|Lec-Lab|Lynn Dodd|4.0|H
,10618|ANTH|315|Native North Americans|12:30|13:50|Lec|Tok Thompson|4.0|TH
,10619|ANTH|315|Native North Americans|14:00|14:50|Dis|TBA|0.0|M
,10620|ANTH|315|Native North Americans|15:00|15:50|Dis|TBA|0.0|M
,10621|ANTH|315|Native North Americans|16:00|16:50|Dis|TBA|0.0|M
,10622|ANTH|315|Native North Americans|16:00|16:50|Dis|TBA|0.0|T
,10623|ANTH|325|Global Studies Research Methods|14:00|16:50|Lec|Reighan Gillam|4.0|W
,10626|ANTH|333|Forms of Folklore|14:00|15:20|Lec|Tok Thompson|4.0|TH
,10827|ANTH|333|Forms of Folklore|10:00|10:50|Dis|TBA|0.0|T
,10828|ANTH|333|Forms of Folklore|11:00|11:50|Dis|TBA|0.0|T
,10829|ANTH|333|Forms of Folklore|10:00|10:50|Dis|TBA|0.0|H
,10830|ANTH|333|Forms of Folklore|11:00|11:50|Dis|TBA|0.0|H
,34927|ANTH|336|Health, Gender and Ethnicity|08:30|09:50|Lec|Atia Sattar|4.0|MW
,10677|ANTH|344|Living with the Past: Encountering History Through Ritual, Experience and Practice|14:00|15:20|Lec|Emily Zeamer|4.0|TH
,10686|ANTH|345|Politics, Social Organization, and Law|16:00|18:50|Lec|Erin Moore|4.0|H
,10633|ANTH|371|Cross-Cultural Research on Urban Gangs|11:00|12:20|Lec|Thomas Ward|4.0|TH
,10634|ANTH|371|Cross-Cultural Research on Urban Gangs|08:00|08:50|Dis|Tracie Mayfield|0.0|H
,10635|ANTH|371|Cross-Cultural Research on Urban Gangs|09:00|09:50|Dis|Tracie Mayfield|0.0|H
,10636|ANTH|371|Cross-Cultural Research on Urban Gangs|10:00|10:50|Dis|Tracie Mayfield|0.0|H
,10637|ANTH|371|Cross-Cultural Research on Urban Gangs|14:00|14:50|Dis|Tracie Mayfield|0.0|H
,10629|ANTH|373|Magic, Witchcraft and Healing|14:00|15:20|Lec|Thomas Ward|4.0|TH
,34947|ANTH|385|Men and Masculinity|14:00|15:20|Lec|Michael Messner|4.0|MW
,10632|ANTH|393|Directed Internship|17:00|18:20|Lec|Emily Zeamer|2.0-8.0|TH
,41535|ANTH|401|Environment and Politics in the Middle East|11:00|11:50|Lec|Onursal Erol|4.0|MWF
,38535|ANTH|406|Theory and Method in Human Evolutionary Biology|16:00|18:50|Lec|David Raichlen|4.0|T
,10641|ANTH|410B|Ethnographic Field Methods and Practicum|16:00|18:50|Lec|Reighan Gillam|4.0|T
,10744|ANTH|445|African American Anthropology|14:00|16:50|Lec|Lanita Jacobs|4.0|M
,19843|ANTH|465|Archaeology and Society|12:30|13:50|Lec|Lynn Dodd|4.0|TH
,10642|ANTH|472|Visual Techniques in Anthropology: Stills|14:00|16:50|Lec|John Alexander|4.0|W
,10743|ANTH|485|Global Studies Senior Thesis Seminar|14:00|16:50|Lec|Nancy Lutkehaus|4.0|M
,10643|ANTH|490|Directed Research|TBA|TBA|Lec|Peter Redfield|1.0-8.0|TBA
,10644|ANTH|491|Directed Research for Honors|TBA|TBA|Lec|Peter Redfield|4.0|TBA
,34976|ANTH|554|Women in Global Perspective|17:00|19:50|Lec|Eliz Sanasarian|4.0|H
,10672|ANTH|562|The Practice of Ethnography|14:00|16:50|Lec|Emily Zeamer|4.0|H
,10647|ANTH|577|Advanced Anthropological Media Seminar|14:00|16:50|Lec|Jennifer Cool|4.0|M
,10648|ANTH|577|Advanced Anthropological Media Seminar|14:00|16:50|Lab|TBA|0.0|F
,10649|ANTH|590|Directed Research|TBA|TBA|Lec|Peter Redfield|1.0-12.0|TBA
,10690|ANTH|595|Ethnographic Postproduction|12:30|15:20|Lec|Jennifer Cool|4.0|T
,10671|ANTH|605|Race: Performance, Politics, Cultural Production|16:00|18:50|Lec|Dorinne Kondo|4.0|T
,41504|ARAB|122|Arabic I|10:00|10:50|Lec|Sozan Wali|4.0|MTWH
,41514|ARAB|152|Arabic II|12:00|12:50|Lec|Muhammad AlKhudair|4.0|MTWH
,41520|ARAB|222|Arabic III|13:00|13:50|Lec|Sozan Wali|4.0|MTWH
,41528|ARAB|252|Arabic IV|14:00|15:50|Lec|Muhammad AlKhudair|4.0|TH
,41539|ARAB|333|Colloquial Arabic: Regional Dialects .|10:00|10:50|Lec|Muhammad AlKhudair|4.0|MTWH
,41544|ARAB|352|Advanced Arabic II|14:00|14:50|Lec|Sozan Wali|4.0|MTWH
,50800|ASTR|100|The Universe|12:00|13:50|Lec|Vera Gluscevic|4.0|TH
,50802|ASTR|100|The Universe|10:00|11:50|Lab|TBA|0.0|W
,50803|ASTR|100|The Universe|10:00|11:50|Lab|TBA|0.0|H
,50804|ASTR|100|The Universe|12:00|13:50|Lab|TBA|0.0|W
,50805|ASTR|100|The Universe|14:00|15:50|Lab|TBA|0.0|T
,50806|ASTR|100|The Universe|14:00|15:50|Lab|TBA|0.0|W
,50807|ASTR|100|The Universe|14:00|15:50|Lab|TBA|0.0|H
,50808|ASTR|100|The Universe|16:00|17:50|Lab|TBA|0.0|W
,50809|ASTR|100|The Universe|16:00|17:50|Lab|TBA|0.0|H
,50801|ASTR|100|The Universe|TBA|TBA|Qz|TBA|0.0|TBA
,50810|ASTR|100|The Universe|14:00|15:20|Lec|Edward Rhodes|4.0|MWF
,50812|ASTR|100|The Universe|10:00|11:50|Lab|TBA|0.0|W
,50813|ASTR|100|The Universe|10:00|11:50|Lab|TBA|0.0|H
,50814|ASTR|100|The Universe|12:00|13:50|Lab|TBA|0.0|W
,50816|ASTR|100|The Universe|14:00|15:50|Lab|TBA|0.0|T
,50817|ASTR|100|The Universe|14:00|15:50|Lab|TBA|0.0|H
,50818|ASTR|100|The Universe|16:00|17:50|Lab|TBA|0.0|W
,50811|ASTR|100|The Universe|TBA|TBA|Qz|TBA|0.0|TBA
,50820|ASTR|104|Special Laboratory|TBA|TBA|Lec-Lab|Joseph Vandiver|1.0|TBA
,50830|ASTR|200|Life in the Universe|14:00|15:20|Lec|Vahe Peroomian|4.0|MW
,50832|ASTR|200|Life in the Universe|10:00|11:50|Lab|TBA|0.0|F
,50833|ASTR|200|Life in the Universe|12:00|13:50|Lab|TBA|0.0|F
,50834|ASTR|200|Life in the Universe|12:00|13:50|Lab|TBA|0.0|H
,50835|ASTR|200|Life in the Universe|10:00|11:50|Lab|TBA|0.0|H
,50836|ASTR|200|Life in the Universe|14:00|15:50|Lab|TBA|0.0|H
,50837|ASTR|200|Life in the Universe|14:00|15:50|Lab|TBA|0.0|F
,50838|ASTR|200|Life in the Universe|16:00|17:50|Lab|TBA|0.0|H
,50839|ASTR|200|Life in the Universe|16:00|17:50|Lab|TBA|0.0|F
,50844|ASTR|422|Galaxies and Large-Scale Structures in the Universe|08:30|09:50|Lec|Elena Pierpaoli|4.0|MWF
,50850|ASTR|490|Directed Research|TBA|TBA|Lec|TBA|2.0-8.0|TBA
,50855|ASTR|499|Special Topics|TBA|TBA|Lec|Elena Pierpaoli|4.0|TBA
,13000|BISC|102|Humans and Their Environment|09:30|10:50|Lec|Carly Kenkel&Dale Kiefer|4.0|TH
,13102|BISC|102|Humans and Their Environment|16:00|17:50|Lab|TBA|0.0|T
,13103|BISC|102|Humans and Their Environment|12:00|13:50|Lab|TBA|0.0|W
,13105|BISC|102|Humans and Their Environment|10:00|11:50|Lab|TBA|0.0|W
,13200|BISC|103|General Biology for the Environment and Life|09:30|10:50|Lec|John Heidelberg&Trond Sigurdsen|4.0|TH
,13201|BISC|103|General Biology for the Environment and Life|11:00|13:50|Lab|TBA|0.0|T
,13202|BISC|103|General Biology for the Environment and Life|09:00|11:50|Lab|TBA|0.0|W
,13203|BISC|103|General Biology for the Environment and Life|12:30|15:20|Lab|TBA|0.0|W
,13204|BISC|103|General Biology for the Environment and Life|11:00|13:50|Lab|TBA|0.0|H
,13026|BISC|108|Special Laboratory I|TBA|TBA|Lec-Lab|Christa Bancroft|1.0|TBA
